"beta","factor","rc.1","rc.2","rc.3","rc.4","rb.1","rb.2","rb.3","rb.4","rb.5"
0.505010552763819,4.9062400536322,-1.9528583385549,-0.271666317180675,-0.0367797408051388,-0.001865077706452,-9.10580977106161,-0.693079176972757,-0.106828599900018,-0.0103243130849396,-0.000163100233659891
0.513804020100503,5.07368671590701,-1.93831432110218,-0.270367063994515,-0.0366100667554278,-0.00185219632192635,-9.32390741489615,-0.700919330320893,-0.108197669348397,-0.0105351460736667,-0.00016995463737261
0.522597487437186,5.2487153553206,-1.92394876156623,-0.269076661414491,-0.0364412440906445,-0.00183935457377121,-9.5504013475508,-0.708855043474636,-0.109580852657313,-0.0107492816972944,-0.000177050234130803
0.531390954773869,5.43178613704076,-1.9097584975097,-0.267795021115059,-0.0362732662695602,-0.0018265520567377,-9.78576892860509,-0.716887848608146,-0.110978279270763,-0.0109667546509955,-0.0001843945022575
0.540184422110553,5.62339537909291,-1.89574043833962,-0.266522055599957,-0.0361061267219835,-0.00181378838355165,-10.0305241219716,-0.725019310728754,-0.112390079951926,-0.0111875997823974,-0.000191995087129689
0.548977889447236,5.824079109724,-1.88189156394774,-0.265257678295618,-0.0359398188617688,-0.00180106318561539,-10.2852210701124,-0.733251028862648,-0.113816386846186,-0.011411852089756,-0.000199859805141638
0.55777135678392,6.03441704750891,-1.86820892152298,-0.264001803351015,-0.0357743360596397,-0.00178837611209745,-10.5504580848685,-0.741584636509816,-0.115257333418834,-0.0116395467131475,-0.00020799664282192
0.566564824120603,6.25503707076887,-1.85468962459016,-0.262754345751729,-0.0356096716573254,-0.00177572683040604,-10.8268821358957,-0.750021802971552,-0.116713054523045,-0.0118707189384073,-0.000216413755205649
0.575358291457286,6.48662024136593,-1.84133085071303,-0.261515221244712,-0.0354458189591788,-0.00176311502573203,-11.1151938889745,-0.758564234178056,-0.118183686393373,-0.0121054041867901,-0.000225119470921981
0.58415175879397,6.72990646730534,-1.82812983932518,-0.260284346269086,-0.0352827712222706,-0.00175054040106838,-11.4161533837466,-0.767213673559496,-0.119669366636148,-0.0123436380161785,-0.000234122286037461
