"beta","factor","rc.1","rc.2","rb.1","rb.2","rb.3"
0.417075879396985,2.30689602980618,-0.538083535928971,-0.0191355230212702,-2.32386985936376,-0.0870312998060837,-0.00100581960265213
0.425869346733668,2.35768181754887,-0.533281975999174,-0.0189684340515564,-2.37997264724178,-0.0888838276382955,-0.00104969716501463
0.434662814070352,2.41022604043389,-0.528542448709637,-0.0188025470765984,-2.43794670083844,-0.0907691145255251,-0.00109506958956034
0.443456281407035,2.4646166785257,-0.523863796817708,-0.0186378463912302,-2.49788184123288,-0.0926876773091569,-0.00114198285339937
0.452249748743719,2.52094745414596,-0.51924489074223,-0.0184743165997775,-2.55987368051039,-0.0946400423452798,-0.00119048403513071
0.461043216080402,2.57931830338203,-0.514684627684611,-0.0183119426147722,-2.62402409456745,-0.0966267457410644,-0.00124062132554562
0.469836683417085,2.63983589462009,-0.510181930783897,-0.0181507096555395,-2.69044174299273,-0.0986483335985502,-0.00129244403771213
0.478630150753769,2.70261419964956,-0.505735748299962,-0.0179906032464795,-2.75924264156011,-0.100705362265176,-0.0013460026165104
0.487423618090452,2.76777512366596,-0.501345052828274,-0.0178316092151871,-2.83055079367547,-0.102798398592318,-0.00140134864752979
0.496217085427136,2.83544920136806,-0.497008840542041,-0.0176737136902974,-2.90449888796748,-0.104928020201544,-0.00145853486531426
0.505010552763819,2.9057763673761,-0.492726130462258,-0.017516903099118,-2.98122907025541,-0.107094815759263,-0.00151761516098274
0.513804020100503,2.978906810384,-0.488495963753533,-0.0173611641649865,-3.0608937993066,-0.109299385259922,-0.00157864458915249
0.522597487437186,3.0550019218511,-0.484317403045964,-0.0172064839043933,-3.14365679719541,-0.111542340318395,-0.00164167937417168
0.531390954773869,3.13423535165277,-0.480189531780312,-0.0170528496238229,-3.22969410667979,-0.1138243044716,-0.00170677691566352
0.540184422110553,3.21679418502313,-0.476111453577993,-0.0169002489163541,-3.31919526994002,-0.116145913490258,-0.00177399579332017
0.548977889447236,3.30288025733988,-0.472082291632008,-0.0167486696579601,-3.41236464522183,-0.118507815700611,-0.0018433957710039
0.55777135678392,3.39271162595659,-0.468101188120967,-0.0165981000035653,-3.50942288060293,-0.120910672317217,-0.00191503780007754
0.566564824120603,3.48652422138763,-0.464167303643655,-0.0164485283828187,-3.61060856718524,-0.123355157786931,-0.00198898402198788
0.575358291457286,3.58457370385438,-0.460279816673792,-0.0162999434956017,-3.71618009772637,-0.125841960144634,-0.00206529777012561
0.58415175879397,3.68713755559751,-0.456437923033755,-0.0161523343072434,-3.82641776111686,-0.128371781381188,-0.00214404357089247
0.592945226130653,3.79451744462561,-0.452640835388037,-0.0160056900434994,-3.9416261083825,-0.130945337824508,-0.00222528714402651
0.601738693467337,3.90704190185583,-0.448887782754198,-0.0158600001852437,-4.06213663216595,-0.133563360533938,-0.00230909540216679
0.61053216080402,4.02506936119188,-0.445178010031201,-0.0157152544628985,-4.18831080923866,-0.136226595708711,-0.00239553644967107
0.619325628140704,4.14899162124128,-0.441510777544955,-0.015571442850625,-4.32054356475143,-0.138935805111252,-0.00248467958066935
0.628119095477387,4.27923779847304,-0.437885360609942,-0.0154285555602431,-4.45926722802724,-0.141691766505835,-0.00257659527639372
0.63691256281407,4.41627885514547,-0.43430104910651,-0.0152865830349351,-4.60495606323135,-0.144495274113418,-0.00267135520176176
0.645706030150754,4.56063280187903,-0.430757147073093,-0.0151455159426881,-4.75813147479824,-0.147347139083241,-0.00276903220125061
0.654499497487437,4.71287069509148,-0.427252972313696,-0.0150053451695486,-4.91936800784117,-0.150248189982337,-0.00286970029407245
0.663292964824121,4.87362357461403,-0.423787856018539,-0.0148660618126343,-5.08930028886232,-0.153199273303208,-0.00297343466865841
0.672086432160804,5.04359051800853,-0.420361142399138,-0.0147276571729692,-5.26863108329703,-0.15620125399113,-0.00308031167647448
0.680879899497487,5.22354802699353,-0.416972188335943,-0.0145901227481201,-5.45814068529986,-0.159255015991497,-0.0031904088252119
0.689673366834171,5.41436101023969,-0.413620363038962,-0.0144534502246714,-5.65869790404373,-0.162361462818482,-0.00330380477133983
0.698466834170854,5.6169956884356,-0.410305047720586,-0.0143176314705392,-5.8712729724385,-0.165521518145869,-0.00342057931208217
0.707260301507538,5.83253482584621,-0.407025635279983,-0.0141826585271424,-6.09695278249741,-0.168736126421018,-0.00354081337683224
0.716053768844221,6.06219579274101,-0.403781529999238,-0.0140485236014552,-6.33695895173959,-0.172006253503262,-0.00366458901803843
0.724847236180905,6.30735209200833,-0.400572147250092,-0.0139152190579484,-6.59266935394849,-0.17533288732766,-0.00379198940159283
0.733640703517588,6.56955915055964,-0.397396913211727,-0.0137827374104495,-6.86564391490397,-0.178717038595533,-0.00392309879677225
0.742434170854271,6.85058539476942,-0.39425526459828,-0.0136510713139216,-7.15765569233711,-0.182159741492768,-0.0040580025657473
0.751227638190955,7.15244991744971,-0.391146648396824,-0.0135202135562058,-7.47072854762246,-0.185662054437594,-0.00419678715272877
0.760021105527638,7.47746842711082,-0.388070521614286,-0.013390157049718,-7.8071830999633,-0.189225060858784,-0.00433954007276111
0.768814572864322,7.82830968477255,-0.385026351033905,-0.0132608948231486,-8.16969316834928,-0.192849870006121,-0.00448634990023991
0.777608040201005,8.20806533115337,-0.382013612980461,-0.0131324200131587,-8.56135560412381,-0.196537617794481,-0.00463730625717043
0.786401507537688,8.62033696310216,-0.379031793093941,-0.0130047258561113,-8.98577737303676,-0.200289467683169,-0.00479249980123656
0.795194974874372,9.06934564362056,-0.376080386111595,-0.0128778056798552,-9.44718507114551,-0.204106611592329,-0.00495202221370693
0.803988442211055,9.56007089045168,-0.373158895657747,-0.0127516528955744,-9.95056391955068,-0.207990270858047,-0.00511596618726076
0.812781909547739,10.0984288354028,-0.370266834041355,-0.0126262609897236,-10.501835930151,-0.211941697228226,-0.00528442541373957
0.821575376884422,10.6915030679074,-0.367403722060817,-0.012501623516086,-11.1080907559354,-0.215962173901076,-0.0054574945719219
0.830368844221105,11.3478472805323,-0.364569088815908,-0.0123777340879493,-11.7778883435363,-0.220053016608445,-0.00563526931533955
0.839162311557789,12.0778871959025,-0.361762471526442,-0.012254586370436,-12.5216608675313,-0.224215574746102,-0.00581784626021379
0.847955778894472,12.8944619687241,-0.358983415357623,-0.0121321740730042,-13.3522541401942,-0.22845123255349,-0.00600532297354363
0.856749246231156,13.8135649949311,-0.356231473251508,-0.0120104909421317,-14.2856684287375,-0.232761410345186,-0.00619779796142543
0.865542713567839,14.8553754163088,-0.353506205764569,-0.011889530754206,-15.3420899684206,-0.237147565796878,-0.00639537065763109
0.874336180904523,16.0457227129872,-0.35080718091106,-0.011769287308632,-16.5473555639401,-0.241611195288534,-0.00659814141252465
0.883129648241206,17.4182124864333,-0.348133974011936,-0.0116497544211863,-17.9350783817502,-0.246153835307716,-0.00680621148235794
0.891923115577889,19.0173900086263,-0.345486167549218,-0.0115309259176217,-19.549811509027,-0.250777063916208,-0.00701968301900461
0.900716582914573,20.9035849376051,-0.342863351025228,-0.0114127956275299,-21.4518926794847,-0.255482502282975,-0.00723865906018855
0.909510050251256,23.1605807849874,-0.34026512082694,-0.0112953573784993,-23.7251137516782,-0.260271816287251,-0.00746324352025396
0.91830351758794,25.9082374471973,-0.337691080095029,-0.0111786049905637,-26.4893432515539,-0.265146718195298,-0.0076935411815475
0.927096984924623,29.3242488258034,-0.335140838597226,-0.0110625322709504,-29.9222840046806,-0.27010896841457,-0.00792965768643741
0.935890452261307,33.6838065206035,-0.332614012606238,-0.0109471330091511,-34.2991368418363,-0.275160377329791,-0.00817169953005715
0.94468391959799,39.4370950003352,-0.330110224781553,-0.0108324009723195,-40.0700957828588,-0.280302807224938,-0.00841977405379395
0.953477386934673,47.3746732442787,-0.327629104055318,-0.0107183299009907,-48.0257296920679,-0.285538174296105,-0.00867398943958928
0.962270854271357,59.0241277000313,-0.325170285521844,-0.0106049135051595,-59.69363525058,-0.290868450759986,-0.00893445470509819
0.97106432160804,77.7699752561765,-0.322733410330878,-0.0104921454606878,-78.4583399442797,-0.296295667063504,-0.00920127969975434
0.979857788944724,112.907056585496,-0.320318125584026,-0.0103800194060764,-113.614695423143,-0.301821914199842,-0.00947457510178431
0.988651256281407,202.538331835076,-0.317924084234751,-0.0102685289395826,-203.265673208313,-0.307449346137326,-0.00975445241622461
0.99744472361809,909.261498877362,-0.315550944990946,-0.0101576676166871,-910.008982961041,-0.313180182366788,-0.0100410239739759
1.00623819095477,-376.517579902649,-0.313198372221627,-0.0100474289479561,375.749500711268,-0.319016710575814,-0.0103344029319655
1.01503165829146,-157.979435120403,-0.310866035864095,-0.00993780639718298,157.190295748177,-0.324961289453662,-0.0106347032743759
1.02382512562814,-100.781958749373,-0.308553611336787,-0.00982879337997457,99.9712809728093,-0.331016351639892,-0.0109420398151275
1.03261859296482,-74.44080679397,-0.306260779452195,-0.00972038326263181,73.6080987426261,-0.337184406819521,-0.0112565282014938
1.04141206030151,-59.3002158023834,-0.303987226333472,-0.00961256936139353,58.4449714388722,-0.343468044977226,-0.0115782849189974
1.05020552763819,-49.4752142887491,-0.301732643332713,-0.00950534494202636,48.5969128640413,-0.349869939818159,-0.0119074272975663
1.05899899497487,-42.5893289860996,-0.299496726951665,-0.00939870321975388,41.6874344687053,-0.35639285236634,-0.0122440735190088
1.06779246231156,-37.4991210861398,-0.297279178764481,-0.0092926373595066,36.5730815636663,-0.363039634751137,-0.0125883426258287
1.07658592964824,-33.5863119808621,-0.295079705342157,-0.0091871404765066,32.6355590323449,-0.369813234193169,-0.0129403545314167
