"beta","factor","rc.1","rc.2","rc.3","rb.1","rb.2","rb.3","rb.4"
0.425869346733668,3.02916125314407,-1.19972790917281,-0.110911830906537,-0.00538809372264815,-4.58270916536451,-0.302157320553692,-0.0234390225770156,-0.000315289451361391
0.434662814070352,3.11203376059087,-1.19002435793742,-0.110264259714054,-0.00534760123923578,-4.68515451256658,-0.30642600407652,-0.0239259778764299,-0.000328945397923948
0.443456281407035,3.19802447710536,-1.18044540901904,-0.109621341597145,-0.00530730147257271,-4.79102961231672,-0.310750708774791,-0.0244208336073104,-0.000343068703224365
0.452249748743719,3.28729474010062,-1.17098874835695,-0.108983028050719,-0.00526719219068971,-4.90050183843035,-0.31513227851832,-0.0249236823508278,-0.000357673902786392
0.461043216080402,3.38001670199988,-1.16165211758794,-0.108349271108752,-0.00522727121081215,-5.01374952928234,-0.319571574341069,-0.0254346174696448,-0.000372775886187537
0.469836683417085,3.47637423597202,-1.15243331230645,-0.107720023323816,-0.00518753640005787,-5.13096289787781,-0.32406947486677,-0.0259537331131386,-0.000388389900448244
0.478630150753769,3.57656393370867,-1.14333018043454,-0.107095237751607,-0.00514798567616872,-5.25234503425997,-0.328626876761111,-0.0264811242234294,-0.000404531553344613
0.487423618090452,3.68079620612796,-1.13434062057187,-0.106474867928429,-0.00510861700788732,-5.3781130107661,-0.333244695175583,-0.0270168865397034,-0.000421216816398881
0.496217085427136,3.78929649985628,-1.1254625804975,-0.105858867857103,-0.00506942841556032,-5.5084991035205,-0.337923864231145,-0.0275611166044821,-0.000438462027464583
0.505010552763819,3.90230664364769,-1.11669405566483,-0.105247191989543,-0.00503041797148905,-5.64375214383761,-0.34266533750305,-0.0281139117686368,-0.000456283893468198
0.513804020100503,4.02008634132296,-1.10803308774704,-0.10463979520743,-0.00499158380011735,-5.78413901633263,-0.347470088516615,-0.0286753701959892,-0.000474699492552281
0.522597487437186,4.14291483017898,-1.09947776326719,-0.104036632807599,-0.00495292407821908,-5.92994632279062,-0.352339111271372,-0.0292455908688857,-0.000493726275992471
0.531390954773869,4.27109272657553,-1.09102621227636,-0.103437660487896,-0.00491443703508948,-6.08148223341312,-0.357273420782956,-0.0298246735935799,-0.000513382070143324
0.540184422110553,4.40494408366756,-1.08267660702361,-0.10284283432789,-0.0048761209522909,-6.2390785502356,-0.362274053624091,-0.0304127190043835,-0.000533685077699217
0.548977889447236,4.54481869050062,-1.07442716074309,-0.102252110777317,-0.00483797416371585,-6.40309301235762,-0.367342068508376,-0.0310098285695097,-0.000554653879005004
0.55777135678392,4.69109464586922,-1.0662761264394,-0.101665446640239,-0.00479999505519953,-6.57391187602168,-0.372478546877657,-0.0316161045956769,-0.00057630743294158
0.566564824120603,4.8441812460623,-1.05822179572292,-0.101082799061071,-0.00476218206422527,-6.75195280882516,-0.377684593513667,-0.0322316502332229,-0.000598665077459452
0.575358291457286,5.00452223209981,-1.05026249770846,-0.10050412551264,-0.00472453367947418,-6.93766814377062,-0.382961337177351,-0.0328565694816356,-0.000621746529890341
0.58415175879397,5.1725994494989,-1.04239659790981,-0.0999293837812709,-0.00468704844020733,-7.13154854593273,-0.388309931256521,-0.0334909671939407,-0.000645571887062029
0.592945226130653,5.34893698320216,-1.03462249720544,-0.0993585319554071,-0.00464972493558188,-7.33412715468498,-0.393731554447641,-0.0341349490825116,-0.000670161624724329
0.601738693467337,5.53410584102122,-1.02693863083076,-0.098791528413678,-0.00461256180387795,-7.54598427468999,-0.399227411458367,-0.0347886217239605,-0.000695536597260672
0.61053216080402,5.72872927233716,-1.01934346740287,-0.0982283318134512,-0.00457555773158659,-7.76775270243042,-0.404798733734443,-0.0354520925648981,-0.000721718036422126
0.619325628140704,5.93348882485076,-1.01183550798673,-0.0976689010807832,-0.00453871145243931,-8.00012379113005,-0.410446780216111,-0.0361254699275592,-0.000748727550269485
0.628119095477387,6.14913126147553,-1.00441328516887,-0.097113195398196,-0.00450202174621623,-8.24385437604054,-0.416172838111397,-0.0368088630149327,-0.000776587121474884
