beta,factor,rc,rb.1,rb.2,m,rc.1,rc.2,rb.3,rc.3,rb.4,rc.4,rb.5
0.733640703517588,13.8575720307289,,-19.6912623003305,-0.932521524319614,4,-1.62544374603256,-0.240543825494611,-0.147368682090499,-0.0326273343438622,-0.0169715740146714,-0.0015422499817591,-0.0004416756879234
0.742434170854271,14.572509256066,,-20.4850410572964,-0.943445220137487,4,-1.61467183653441,-0.239447871088378,-0.149150430670611,-0.0324775615885365,-0.017279892612123,-0.0015303113518579,-0.0004576697675357
0.751227638190955,15.3430975883902,,-21.3359261853933,-0.954517842190252,4,-1.60401502160937,-0.238358692557644,-0.150950125217577,-0.0323284549294568,-0.0175924557045406,-0.0015184069696784,-0.0004741536586887
0.760021105527638,16.1755945871217,,-22.2502106705175,-0.965742165528853,4,-1.59347148117214,-0.237276217299822,-0.152767934353551,-0.0321800064116476,-0.0179093007069136,-0.0015065367721716,-0.0004911390244956
0.768814572864322,17.0772145376832,,-23.2351453067248,-0.977121035121076,4,-1.58303943034484,-0.236200373143502,-0.154604028468924,-0.0320322080164688,-0.018230465086505,-0.0014947006987502,-0.0005086376617584
0.777608040201005,18.0563177841009,,-24.2991280697167,-0.988657368182608,4,-1.57271711866599,-0.235131088353945,-0.156458579756202,-0.0318850516634255,-0.0185559863605477,-0.0014828986903726,-0.0005266614971953
0.786401507537688,19.1226468340143,,-25.4519402622851,-1.00035415638003,4,-1.562502828974,-0.234068291589582,-0.158331762213825,-0.0317385292065371,-0.0188859020898431,-0.0014711306884947,-0.0005452225843504
0.795194974874372,20.2876233025447,,-26.7050435040715,-1.0122144684785,4,-1.55239487687958,-0.233011911940097,-0.160223751702922,-0.0315926324418097,-0.0192202498793699,-0.0014593966336712,-0.0005643330995262
0.803988442211055,21.5647247913114,,-28.0719566556734,-1.02424145281701,4,-1.54239160982139,-0.231961878900778,-0.162134725963633,-0.0314473531054471,-0.01955906737385,-0.0014476964648434,-0.0005840053380461
0.812781909547739,22.9699679912512,,-29.5687389700338,-1.0364383400227,4,-1.53249140635932,-0.230918122377228,-0.164064864652092,-0.0313026828764936,-0.0199023922548368,-0.0014360301182686,-0.000604251710972
0.821575376884422,24.5225346525846,,-31.2146161127068,-1.04880844580018,4,-1.5226926754279,-0.229880572684832,-0.166014349375087,-0.0311586133797254,-0.0202502622397394,-0.0014243975260816,-0.0006250847402422
